ts_code,start_date,hy_code
000547,1993/11/30,260405
000547,2007/7/2,510101
000547,2014/7/1,730202
000547,2017/6/29,650301
000547,2021/7/30,650501
000548,1993/12/20,420201
000548,2021/7/30,420901
000549,1993/12/20,310102
000550,1993/12/1,310102
000550,2014/1/1,280102
000550,2021/7/30,280601
000551,1994/1/6,410401
000551,2011/1/10,510101
000551,2015/7/1,640205
000551,2021/7/30,760201
000552,1994/1/6,330105
000552,2006/9/1,210201
000552,2021/7/30,740101
000553,1993/12/3,220303
000553,2021/7/30,220803
000554,1993/12/15,220103
000554,2021/7/30,750302
000555,1993/12/6,220401
000555,2001/5/1,320101
000555,2007/7/2,330202
000555,2009/6/1,270201
000555,2010/6/1,320102
000555,2014/1/1,730201
000555,2014/7/1,710202
000555,2021/7/30,710301
000556,1994/5/25,510101
000557,1994/6/17,110601
000557,2007/7/2,340305
000557,2018/7/13,420701
000557,2021/7/30,420903
000558,1994/5/9,430101
000559,1994/1/10,310201
000559,2014/1/1,280201
000559,2021/7/30,280203
000560,1994/2/2,450101
000560,2010/6/1,450103
000560,2011/10/10,450101
000560,2013/7/1,450103
000560,2014/1/1,450501
000560,2017/6/29,450301
000560,2019/7/24,430101
000560,2021/7/30,430302
000561,1994/5/9,320102
000561,2007/7/2,330101
000561,2010/6/1,320102
000561,2014/1/1,730201
000561,2019/7/24,650201
000562,1994/2/2,440301
000562,2014/1/1,490101
000563,1994/1/10,440201
000563,2014/1/1,490301
000563,2021/7/30,490304
000564,1994/1/10,450101
000564,2014/1/1,450301
000565,1994/4/8,220305
000565,2008/6/2,220309
000565,2011/1/10,220305
000566,1994/5/25,370103
000566,2008/1/2,370102
000567,1994/5/25,340304
000567,2006/9/1,430101
000567,2018/7/13,490301
000567,2021/7/30,490307
000568,1994/5/9,340301
000568,2021/7/30,340501
000569,1994/4/25,230102
000570,1994/7/1,260104
000570,2014/1/1,640104
000570,2021/7/30,280203
000571,1994/5/25,310301
000571,2011/1/10,210201
000571,2021/7/30,740101
000572,1994/8/8,430101
000572,2005/9/1,310401
000572,2006/9/1,310101
000572,2014/1/1,280101
000572,2021/7/30,280502
000573,1994/8/15,430101
000576,1994/9/7,340102
000576,2011/10/10,110504
000576,2013/1/1,360101
000576,2018/6/12,110504
000576,2020/6/22,650301
000578,1995/1/8,450201
000578,2000/9/1,440301
000578,2007/7/2,510101
