,GROUP_CODE,GROUP_NAV_DATE,GROUP_REH_VALUE
2546,ZH032095,2021-07-14,2.3515
2550,ZH032095,2021-07-15,2.3683
2553,ZH032095,2021-07-16,2.354
2556,ZH032095,2021-07-19,2.3494
2561,ZH032095,2021-07-20,2.3541
2566,ZH032095,2021-07-21,2.3957
2569,ZH032095,2021-07-22,2.4156
2573,ZH032095,2021-07-23,2.3884
2577,ZH032095,2021-07-26,2.3574
2582,ZH032095,2021-07-27,2.2838
2585,ZH032095,2021-07-28,2.2712
2589,ZH032095,2021-07-29,2.3375
2593,ZH032095,2021-07-30,2.3393
2597,ZH032095,2021-08-02,2.3859
2601,ZH032095,2021-08-03,2.3509
2604,ZH032095,2021-08-04,2.4032
2611,ZH032095,2021-08-05,2.3933
2613,ZH032095,2021-08-06,2.3966
2618,ZH032095,2021-08-09,2.4074
2623,ZH032095,2021-08-10,2.411
2625,ZH032095,2021-08-11,2.4219
2629,ZH032095,2021-08-12,2.4237
2634,ZH032095,2021-08-13,2.4188
2637,ZH032095,2021-08-16,2.3964
2642,ZH032095,2021-08-17,2.3479
2644,ZH032095,2021-08-18,2.3549
2648,ZH032095,2021-08-19,2.3662
2653,ZH032095,2021-08-20,2.3529
2657,ZH032095,2021-08-23,2.3985
2661,ZH032095,2021-08-24,2.4215
2666,ZH032095,2021-08-25,2.4343
2670,ZH032095,2021-08-26,2.4021
2675,ZH032095,2021-08-27,2.4176
2677,ZH032095,2021-08-30,2.4203
2680,ZH032095,2021-08-31,2.4204
2686,ZH032095,2021-09-01,2.4013
2688,ZH032095,2021-09-02,2.4267
2693,ZH032095,2021-09-03,2.4006
2696,ZH032095,2021-09-06,2.4365
2701,ZH032095,2021-09-07,2.4726
2704,ZH032095,2021-09-08,2.4731
2709,ZH032095,2021-09-09,2.4719
2714,ZH032095,2021-09-10,2.4863
